job_name,salary,job_exp,skills,job_degree,city,welfare,company
UI设计师,5-8K,1-3年,"['UI设计', '交互体验设计', '网页设计', '视觉设计']",大专,海口,"['带薪年假', '节日福利', '定期体检']",沪能新能源
UI设计师,4-7K,3-5年,"['UI设计', '移动端', '交互体验设计', '视觉设计', '插画设计']",大专,合肥,"['社保', '包吃', '交通补助', '底薪加提成', '通讯补贴', '股票期权', '带薪年假', '节日福利']",安徽爱学记
UI设计师,15-20K·13薪,3-5年,"['小程序', '视觉设计', '动效设计']",本科,北京,"['五险一金', '通讯补贴', '节日福利', '定期体检']",远舢智能
UI设计师,8-13K·13薪,3-5年,"['Web端', 'PC端', '移动端', 'UI设计', '交互体验设计']",大专,海口,"['全勤奖', '零食下午茶', '员工旅游', '节日福利', '住房补贴', '年终奖', '带薪年假']",博凡科技
UI设计师,6-8K,1-3年,"['移动端', '视觉设计', 'UI设计', '欧美风格']",本科,青岛,['零食下午茶'],米琪
UI设计师,3-5K,经验不限,"['UI', '平面设计', '网页设计']",学历不限,榆林,"['带薪年假', '股票期权', '餐补', '交通补助', '节日福利']",云企网络
UI设计师,1-2K,在校/应届,['UI设计'],学历不限,沈阳,null,百强家政及百强培训
UI设计师,7-12K,3-5年,"['HTML', 'UI设计', '交互体验设计', '平面设计', '美术设计师']",大专,厦门,"['节日福利', '零食下午茶', '带薪年假', '底薪加提成']",艾斯芸防伪
UI设计师,5-10K,1-3年,['UI'],本科,合肥,"['节日福利', '加班补助', '股票期权', '全勤奖', '五险一金', '带薪年假', '补充医疗保险', '年终奖']",安徽晟淮
UI设计师,4-6K,1-3年,"['移动端', '视觉设计', 'PC端', 'PhotoShop', 'Dreamweaver']",大专,南宁,"['加班补助', '其他福利', '员工旅游', '开单奖励', '外出约谈奖励', '零食下午茶', '全勤奖', '带薪年假', '年终奖', '通讯补贴', '交通补助']",广西德方信息科技...
UI设计师,100-120元/天,3天/周,"['交互体验设计', 'Android']",3个月,北京,"['五险一金', '全勤奖', '年终奖', '股票期权']",企嘉
UI设计师,9-12K,1-3年,"['移动端', '视觉设计', 'UI设计']",本科,上海,"['五险一金', '年终奖', '全勤奖', '加班补助', '员工旅游', '节日福利']",简维
UI设计师,4-9K,1-3年,"['网页设计', 'PhotoShop', 'AI', '美工', '美术设计师']",学历不限,临沂,"['定期体检', '全勤奖', '股票期权', '五险一金', '员工旅游', '年终奖', '零食下午茶']",码方科技
UI设计师,8-16K,1年以内,"['平面设计', 'UI', '游戏特效']",大专,北京,null,普驰
UI设计师,8-11K,5-10年,"['视觉设计', '移动端', 'PC端', 'AI', 'UI设计']",本科,北京,['五险一金'],创美达新能源
ui设计师,4-6K,经验不限,"['交互设计', '原型设计', '视觉设计', '网页端', '平面设计']",本科,哈尔滨,"['生日福利', '员工旅游', '节日福利', '团建聚餐', '五险一金', '餐补', '带薪年假', '定期体检']",空时宇航
UI设计师,1-3K,1-3年,"['视觉设计', 'Web端', '移动端', '网页设计', '小程序']",学历不限,哈尔滨,null,东印科技
UI设计师,8-12K·13薪,3-5年,"['App设计', '网页设计', '平面设计']",学历不限,广州,"['定期体检', '年终奖', '节日福利', '员工旅游', '交通补助', '带薪年假']",32号
UI设计师,15-20K,3-5年,"['HTML', '视觉设计', '手绘', 'UI设计', '动效设计']",大专,珠海,"['带薪年假', '五险一金', '节日福利', '员工旅游', '零食下午茶']",mFood
UI设计师,5-8K,1-3年,"['UI设计', 'PhotoShop', 'CorelDRAW', 'AI软件']",高中,福州,"['五险一金', '加班补助', '包吃', '交通补助', '年终奖', '住房补贴']",一九九一建材
UI设计师,8-10K,1-3年,"['交互体验设计', 'UI设计', '视觉设计', '手绘', '网页设计']",本科,贵阳,['带薪年假'],互政通
ui设计师,3-6K,1-3年,"['原型设计', '客户端', '移动端', '网页端', '平面设计']",本科,郑州,['全勤奖'],易酷航空
UI设计师,5-10K,1-3年,"['移动端', 'PC端', 'Web端', 'UI设计', '交互体验设计']",本科,赣州,"['住房补贴', '五险一金']",乐诚
UI设计师,6-10K,3-5年,"['JavaScript', 'HTML', 'CSS', 'UI设计', '网页设计']",本科,嘉兴,"['五险一金', '员工旅游', '年终奖', '股票期权', '带薪年假', '交通补助', '通讯补贴', '定期体检', '餐补', '节日福利', '加班补助', '全勤奖']",康养食品
